1984, Джордж Оруэлл
451° по Фаренгейту, Рэй Брэдбери 
Автостопом по Галактике, Дуглас Адамс
Бегущий за ветром, Халед Хоссейни
Великий Гэтсби, Ф. С. Фицджеральд 
Властелин колец, Дж. Р. Р. Толкин
Гамлет, Уильям Шекспир 
Гарри Поттер и философский камень, Джоан Роулинг
Гордость и предубеждение, Джейн Остен 
Гроздья гнева, Джон Стейнбек 
Джейн Эйр, Шарлотта Бронте 
Книжный вор, Маркус Зузак 
Над пропастью во ржи, Джером Д. Сэлинджер 
Ночь, Эли Визель
О мышах и людях, Джон Стейнбек
Паутина Шарлотты, Элвин Брукс Уайт
Повелитель мух, Уильям Голдинг
Повесть о двух городах, Чарльз Диккенс 
Приключения Гекльберри Финна, Марк Твен 
Прислуга, Кэтрин Стокетт
Рождественская история, Чарльз Диккенс 
Складка времени, Мадлен Л’Энгль
Скотный двор, Джордж Оруэлл
Убить пересмешника, Харпер Ли
Унесённые ветром, Маргарет Митчелл 
